epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.814,1.52561,5.92563,0.02569,0.34273,0.15356,0.13493,0.06899,1.55404,5.18209,0.03402,0.000332407,0.000332407,0.000332407
2,391.338,1.45327,4.4585,0.02377,0.41672,0.30355,0.21726,0.10317,1.5487,3.19573,0.03477,0.00065915,0.00065915,0.00065915
3,564.942,1.45665,3.54928,0.02363,0.53224,0.34455,0.32381,0.14613,1.59256,2.77005,0.03538,0.000979292,0.000979292,0.000979292
4,742.095,1.49848,2.98675,0.02465,0.57639,0.35811,0.38311,0.17881,1.4862,2.58201,0.03246,0.0009703,0.0009703,0.0009703
5,917.053,1.53081,2.67084,0.02554,0.51027,0.34662,0.348,0.17637,1.42115,2.38122,0.03034,0.0009604,0.0009604,0.0009604
6,1095.31,1.47046,2.47904,0.0242,0.54211,0.35045,0.40512,0.20859,1.52134,2.31195,0.03375,0.0009505,0.0009505,0.0009505
7,1267.29,1.49856,2.34235,0.02406,0.51839,0.46302,0.44752,0.2296,1.50853,2.15734,0.0335,0.0009406,0.0009406,0.0009406
8,1439.35,1.47479,2.2206,0.02366,0.77727,0.38863,0.50153,0.24258,1.5384,1.95028,0.0346,0.0009307,0.0009307,0.0009307
9,1611.23,1.48436,2.16494,0.02417,0.57595,0.45977,0.46479,0.23534,1.5263,2.06323,0.03335,0.0009208,0.0009208,0.0009208
10,1786.23,1.46961,2.1608,0.02412,0.53633,0.49797,0.5056,0.24172,1.63281,1.9031,0.0358,0.0009109,0.0009109,0.0009109
11,1961.54,1.49519,2.05251,0.02381,0.6915,0.46661,0.54455,0.25025,1.59502,1.82845,0.03659,0.000901,0.000901,0.000901
12,2137.76,1.48236,2.00202,0.0237,0.47672,0.45037,0.50675,0.26749,1.55555,1.87791,0.03297,0.0008911,0.0008911,0.0008911
13,2313.15,1.47119,1.94596,0.02352,0.49399,0.54475,0.53456,0.28461,1.5095,1.87732,0.03307,0.0008812,0.0008812,0.0008812
14,2492.66,1.45051,1.9199,0.02303,0.5279,0.48305,0.51085,0.26362,1.51789,1.83248,0.03304,0.0008713,0.0008713,0.0008713
15,2673.15,1.43985,1.89247,0.02343,0.51171,0.52257,0.54769,0.28172,1.57846,1.77077,0.034,0.0008614,0.0008614,0.0008614
16,2853.39,1.44953,1.8732,0.023,0.6226,0.53936,0.57464,0.29715,1.49936,1.88131,0.03289,0.0008515,0.0008515,0.0008515
17,3033.08,1.46694,1.85294,0.02345,0.76102,0.49043,0.58043,0.30917,1.5713,1.69123,0.03331,0.0008416,0.0008416,0.0008416
18,3214.15,1.42108,1.86059,0.02289,0.47095,0.54706,0.52803,0.28803,1.45656,1.81584,0.03178,0.0008317,0.0008317,0.0008317
19,3395.29,1.42844,1.79565,0.0227,0.52025,0.50092,0.53444,0.27005,1.52487,1.82672,0.0332,0.0008218,0.0008218,0.0008218
20,3576.37,1.45529,1.77617,0.02328,0.53945,0.58436,0.59575,0.30479,1.57432,1.56554,0.03376,0.0008119,0.0008119,0.0008119
21,3754.33,1.44983,1.74299,0.02342,0.58927,0.59286,0.6153,0.29756,1.55701,1.57412,0.03373,0.000802,0.000802,0.000802
22,3930.44,1.45049,1.75202,0.02326,0.58631,0.55853,0.60996,0.3225,1.48871,1.55655,0.03168,0.0007921,0.0007921,0.0007921
23,4108.3,1.44322,1.70099,0.02329,0.57712,0.60052,0.63298,0.3313,1.49,1.63568,0.03164,0.0007822,0.0007822,0.0007822
24,4284.11,1.43359,1.68556,0.02337,0.59037,0.61402,0.62317,0.32041,1.53859,1.53958,0.03332,0.0007723,0.0007723,0.0007723
25,4460.47,1.41749,1.61208,0.02236,0.65026,0.55209,0.6242,0.33784,1.47348,1.67716,0.03208,0.0007624,0.0007624,0.0007624
26,4635.43,1.43436,1.63477,0.02306,0.56298,0.60629,0.61404,0.32314,1.58949,1.57091,0.03426,0.0007525,0.0007525,0.0007525
27,4810.85,1.39829,1.65961,0.02247,0.60953,0.56646,0.60593,0.31608,1.53337,1.63498,0.03303,0.0007426,0.0007426,0.0007426
28,4987.15,1.42749,1.64111,0.02271,0.671,0.5085,0.60022,0.30982,1.53829,1.52808,0.03303,0.0007327,0.0007327,0.0007327
29,5161.77,1.44025,1.62617,0.02341,0.52428,0.59389,0.59606,0.31367,1.48027,1.53833,0.03139,0.0007228,0.0007228,0.0007228
30,5333.5,1.41862,1.56579,0.02225,0.58372,0.61669,0.60012,0.31391,1.52721,1.46223,0.03191,0.0007129,0.0007129,0.0007129
31,5505.22,1.42441,1.57432,0.02309,0.66614,0.56871,0.63858,0.33103,1.56394,1.46575,0.03281,0.000703,0.000703,0.000703
32,5683.33,1.37858,1.59482,0.02177,0.60563,0.58753,0.65155,0.33433,1.60855,1.49442,0.03428,0.0006931,0.0006931,0.0006931
33,5861.9,1.41961,1.57437,0.02329,0.60123,0.59672,0.62783,0.31485,1.65481,1.43971,0.03543,0.0006832,0.0006832,0.0006832
34,6037.32,1.4261,1.56131,0.02204,0.65697,0.62092,0.66319,0.34668,1.53626,1.48654,0.0336,0.0006733,0.0006733,0.0006733
35,6216,1.38223,1.58452,0.02196,0.59827,0.64483,0.66342,0.33823,1.5192,1.50695,0.03211,0.0006634,0.0006634,0.0006634
36,6393.47,1.39472,1.54959,0.02196,0.59677,0.62488,0.62487,0.34264,1.51416,1.47222,0.03231,0.0006535,0.0006535,0.0006535
37,6567.83,1.39456,1.53354,0.02205,0.61948,0.59554,0.64151,0.34005,1.57485,1.47541,0.03361,0.0006436,0.0006436,0.0006436
38,6741.48,1.38718,1.50634,0.02175,0.66325,0.5825,0.64252,0.35501,1.5072,1.52899,0.032,0.0006337,0.0006337,0.0006337
39,6913.95,1.35625,1.52879,0.02132,0.62658,0.60232,0.64535,0.33846,1.50769,1.50633,0.03301,0.0006238,0.0006238,0.0006238
40,7087.22,1.38738,1.45228,0.02178,0.66369,0.65771,0.67246,0.35946,1.59402,1.44501,0.0339,0.0006139,0.0006139,0.0006139
41,7260.47,1.38793,1.46838,0.0218,0.64697,0.56697,0.64428,0.34372,1.5641,1.57314,0.03272,0.000604,0.000604,0.000604
42,7432.06,1.37836,1.48204,0.02202,0.64775,0.59523,0.66823,0.36558,1.51094,1.43317,0.03247,0.0005941,0.0005941,0.0005941
43,7603.05,1.36773,1.45583,0.02156,0.64315,0.66429,0.67729,0.36555,1.45563,1.4173,0.03067,0.0005842,0.0005842,0.0005842
44,7771.62,1.38553,1.46728,0.02167,0.61855,0.67956,0.69378,0.36831,1.54338,1.29171,0.03262,0.0005743,0.0005743,0.0005743
45,7942.81,1.38263,1.44793,0.02177,0.60011,0.62138,0.66141,0.35683,1.59024,1.35981,0.03316,0.0005644,0.0005644,0.0005644
46,8115.22,1.37477,1.43305,0.02196,0.62425,0.64684,0.67855,0.35846,1.56146,1.39112,0.03349,0.0005545,0.0005545,0.0005545
47,8289.09,1.36648,1.43544,0.02151,0.70035,0.5598,0.65875,0.34444,1.48787,1.44841,0.03088,0.0005446,0.0005446,0.0005446
48,8461.43,1.36103,1.42392,0.02181,0.61392,0.62621,0.67208,0.36447,1.57488,1.38039,0.03246,0.0005347,0.0005347,0.0005347
49,8636.46,1.34339,1.3992,0.02126,0.61729,0.62173,0.65248,0.34689,1.53122,1.30723,0.03168,0.0005248,0.0005248,0.0005248
50,8813.33,1.36336,1.41735,0.02101,0.67218,0.613,0.67588,0.36919,1.51243,1.41427,0.03155,0.0005149,0.0005149,0.0005149
51,8984.05,1.36342,1.36854,0.02113,0.62116,0.67074,0.67409,0.3588,1.50005,1.36376,0.03147,0.000505,0.000505,0.000505
52,9160.91,1.37459,1.4032,0.02147,0.62917,0.6158,0.66275,0.36278,1.53083,1.39786,0.03232,0.0004951,0.0004951,0.0004951
53,9340.63,1.31676,1.36297,0.02104,0.6253,0.68068,0.70136,0.3702,1.53715,1.33451,0.03216,0.0004852,0.0004852,0.0004852
54,9516.88,1.35144,1.34983,0.02145,0.64801,0.66344,0.69374,0.37072,1.51657,1.35883,0.03196,0.0004753,0.0004753,0.0004753
55,9693.94,1.34659,1.40538,0.021,0.70122,0.63234,0.70217,0.37695,1.47681,1.32639,0.03078,0.0004654,0.0004654,0.0004654
56,9873.82,1.33361,1.37282,0.02117,0.65201,0.64613,0.70332,0.36896,1.51666,1.30765,0.03261,0.0004555,0.0004555,0.0004555
57,10050.1,1.32351,1.35283,0.02063,0.68942,0.63446,0.6951,0.3749,1.46948,1.3559,0.03063,0.0004456,0.0004456,0.0004456
58,10224.1,1.32628,1.32369,0.02036,0.64202,0.65263,0.68336,0.36511,1.52774,1.39431,0.03202,0.0004357,0.0004357,0.0004357
59,10402,1.31773,1.32726,0.02085,0.65546,0.6427,0.71053,0.38723,1.50641,1.34388,0.03178,0.0004258,0.0004258,0.0004258
60,10581.6,1.30585,1.32717,0.02019,0.64916,0.6667,0.68481,0.37502,1.48761,1.34028,0.03151,0.0004159,0.0004159,0.0004159
61,10758.6,1.30843,1.33008,0.0204,0.6169,0.65549,0.68304,0.37771,1.50084,1.37331,0.03198,0.000406,0.000406,0.000406
62,10939.1,1.31755,1.31878,0.02114,0.61543,0.622,0.65108,0.35552,1.51017,1.36237,0.03156,0.0003961,0.0003961,0.0003961
63,11119.4,1.3219,1.30989,0.02094,0.62388,0.63813,0.6767,0.36809,1.5075,1.31515,0.03303,0.0003862,0.0003862,0.0003862
64,11299.8,1.28659,1.29325,0.02031,0.66604,0.64643,0.70025,0.37185,1.55843,1.32054,0.03305,0.0003763,0.0003763,0.0003763
65,11475.9,1.31641,1.26924,0.02079,0.66871,0.61158,0.68846,0.37744,1.50991,1.35171,0.03142,0.0003664,0.0003664,0.0003664
66,11650.6,1.29887,1.26812,0.02047,0.64888,0.6662,0.70824,0.38053,1.51426,1.29689,0.0325,0.0003565,0.0003565,0.0003565
67,11829.2,1.29823,1.2925,0.02038,0.67218,0.65282,0.69994,0.38152,1.49949,1.30959,0.03157,0.0003466,0.0003466,0.0003466
68,12006.6,1.31048,1.30286,0.02045,0.65392,0.64462,0.69755,0.37873,1.49976,1.3331,0.03174,0.0003367,0.0003367,0.0003367
69,12182.6,1.30088,1.2637,0.02071,0.67819,0.65268,0.71759,0.38529,1.47447,1.32891,0.03196,0.0003268,0.0003268,0.0003268
70,12364.4,1.29097,1.2588,0.02008,0.65916,0.65545,0.7034,0.38249,1.49934,1.35346,0.03154,0.0003169,0.0003169,0.0003169
71,12543.9,1.28968,1.26009,0.02011,0.70835,0.61735,0.6978,0.37138,1.53092,1.34063,0.03173,0.000307,0.000307,0.000307
72,12719.9,1.29572,1.23889,0.01977,0.67942,0.64976,0.71,0.37571,1.51992,1.24926,0.03237,0.0002971,0.0002971,0.0002971
73,12899.4,1.28468,1.21436,0.01974,0.71815,0.64334,0.71913,0.37942,1.49153,1.31669,0.03174,0.0002872,0.0002872,0.0002872
74,13077.8,1.27157,1.25227,0.02,0.65234,0.65825,0.71239,0.3895,1.46217,1.33908,0.03085,0.0002773,0.0002773,0.0002773
75,13255.3,1.28606,1.23058,0.01983,0.63102,0.64882,0.69794,0.38396,1.48163,1.26666,0.03195,0.0002674,0.0002674,0.0002674
76,13431.8,1.25318,1.20186,0.01955,0.62713,0.68998,0.71436,0.38715,1.49338,1.33839,0.03146,0.0002575,0.0002575,0.0002575
77,13613.5,1.26211,1.19009,0.02012,0.66271,0.6404,0.70228,0.38976,1.45552,1.34829,0.03045,0.0002476,0.0002476,0.0002476
78,13789.6,1.26743,1.21746,0.01997,0.67579,0.63805,0.70064,0.38781,1.44683,1.35742,0.03061,0.0002377,0.0002377,0.0002377
79,13964.4,1.26197,1.19816,0.01965,0.70938,0.60789,0.70777,0.38857,1.44841,1.31588,0.031,0.0002278,0.0002278,0.0002278
80,14139.7,1.27528,1.23783,0.01966,0.64784,0.6728,0.70394,0.38722,1.44389,1.28715,0.03034,0.0002179,0.0002179,0.0002179
81,14318.8,1.25229,1.19301,0.01918,0.66363,0.65583,0.70726,0.38963,1.49093,1.33413,0.0308,0.000208,0.000208,0.000208
82,14499.7,1.23664,1.20387,0.01901,0.64594,0.66039,0.70677,0.38499,1.50859,1.31713,0.03116,0.0001981,0.0001981,0.0001981
83,14680.3,1.22632,1.1752,0.01877,0.69465,0.63697,0.70784,0.38831,1.49676,1.32169,0.03135,0.0001882,0.0001882,0.0001882
84,14857.2,1.24031,1.18811,0.01936,0.68209,0.70302,0.73703,0.39118,1.50403,1.25291,0.03144,0.0001783,0.0001783,0.0001783
85,15033.6,1.23314,1.18139,0.01917,0.73003,0.6321,0.72326,0.39695,1.45369,1.28436,0.03043,0.0001684,0.0001684,0.0001684
86,15212.1,1.24128,1.20789,0.01929,0.65918,0.6981,0.7236,0.40107,1.46001,1.26381,0.02993,0.0001585,0.0001585,0.0001585
87,15390.4,1.25149,1.17883,0.01898,0.69402,0.63068,0.71643,0.38863,1.47828,1.26043,0.03094,0.0001486,0.0001486,0.0001486
88,15566.6,1.22198,1.16087,0.01876,0.65154,0.68232,0.71257,0.39397,1.50362,1.24228,0.03133,0.0001387,0.0001387,0.0001387
89,15744.3,1.22357,1.16515,0.01853,0.68611,0.66531,0.71602,0.39751,1.47735,1.24345,0.03092,0.0001288,0.0001288,0.0001288
